Ensembl	Entrez	Symbol	CCs_HCC1937	CCs_SUM149PT	CSCs_HCC1937	CSCs_SUM149PT
ENSG00000000003	7105	TSPAN6	34.3129758817513	17.9037256285442	23.821404844102	5.13152183999288
ENSG00000000005	64102	TNMD	0.0188834656143638	0.0930582702070025	0	0
ENSG00000000419	8813	DPM1	175.779686893656	188.717885041927	183.782204680955	225.163500026565
ENSG00000000457	57147	SCYL3	15.3453073774933	8.12144373181333	14.3682124356185	8.3223962841677
ENSG00000000460	55732	C1orf112	20.4358717704554	4.27308324915111	17.7105604510626	4.91264441458135
ENSG00000000938	2268	FGR	2.54799346649806	9.85293280077806	4.41505437769773	0.963972557025402
ENSG00000000971	3075	CFH	0.0454917303438978	18.8641617130389	0.0419634149935748	40.9107098508292
ENSG00000001036	2519	FUCA2	21.4769284441559	13.3328648170962	26.6810380406343	15.3980182381969
ENSG00000001084	2729	GCLC	25.798261041079	40.7390752005297	21.1767704499995	29.5589267934614
ENSG00000001167	4800	NFYA	0	0	0	0
ENSG00000001460	90529	STPG1	4.62341401535968	2.99798210329241	5.10590158072637	6.94329305683569
ENSG00000001461	57185	NIPAL3	20.0701671979748	28.7381668381745	18.5927739433484	64.9604698715393
ENSG00000001497	81887	LAS1L	54.1482067520201	25.8388260689344	57.685792624928	27.431091898165
ENSG00000001561	22875	ENPP4	9.05770473373495	7.82286689566963	4.74213704512678	6.97294918306778
ENSG00000001617	6405	SEMA3F	27.6299348463386	46.577722811207	29.6159134383184	32.0462781884152
ENSG00000001626	1080	CFTR	0	0.392517901807978	0.0599979723787268	0.0301875894919132
ENSG00000001629	54467	ANKIB1	46.0708088359971	68.3553519739666	43.8225061988388	81.564829601661
ENSG00000001630	1595	CYP51A1	0.0304393941694151	0.114569320403829	0.0176044257451441	0.0846127774402973
ENSG00000001631	889	KRIT1	0.0130541388856109	0.0353788925445627	0.0453016207240407	0
ENSG00000002016	5893	RAD52	45.3394259386801	41.8293609659693	48.5655414950932	41.0304007078346
ENSG00000002330	572	BAD	28.9358458448355	20.8811863170058	23.7117128193746	14.1065470462425
ENSG00000002549	51056	LAP3	22.610212039342	19.8226920212931	20.0688108618822	25.7679212929757
ENSG00000002586	4267	CD99	91.7621533756849	53.2659649240708	110.866984227597	208.47099473793
ENSG00000002587	9957	HS3ST1	8.24791794388784	8.07800700522117	4.28844158555533	1.69511884440899
ENSG00000002726	26	AOC1	0.0211788382966344	1.68830911150938	0	0.147862359840212
ENSG00000002745	51384	WNT16	0.359432842359753	0.448042570860702	0.333970534178566	0.602904986875738
ENSG00000002746	23072	HECW1	0.0548570106861645	0.322281019348194	0.224814971701419	1.37929507254813
ENSG00000002822	8379	MAD1L1	0.0701783965313967	0.0496925342016837	0.0284846481825157	0.250675413718857
ENSG00000002834	3927	LASP1	57.60864626118	34.5343254513386	65.432546391101	39.0465518121373
ENSG00000002919	29916	SNX11	23.7496615964709	18.2421570093133	20.237386938599	23.6630524709684
