	M2.2.13.CCs_Hep3B	M2.2.13.CCs_Huh7	M2.2.13.CSCs_Hep3B	M2.2.13.CSCs_Huh7	M6.3.14.CCs_1	M6.3.14.CSCs_1	M8.2.3.CCs_1	M8.2.3.CCs_2	M8.2.3.CCs_3	M8.2.3.CSCs_1	M8.2.3.CSCs_2	M8.2.3.CSCs_3	M9.1.4.CCs_1	M9.1.4.CCs_2	M9.1.4.CCs_3	M9.1.4.CSCs_1_CXCR4+MET+CD44+	M9.1.4.CSCs_2_CXCR4+MET+CD44+	M9.1.4.CSCs_3_CXCR4+MET+CD44+	M13.2.11.CCs_UT33	M13.2.11.CSCs_UT33	R1.1.1.CCs_3	R1.1.1.CSCs_3	R1.1.1.NCs_3	R1.1.1.SCs_3	R4.10.2.CCs_3	R4.10.2.CSCs_3	R5.8.2.TN.CCs_HCC1937	R5.8.2.TN.CCs_SUM149PT	R5.8.2.TN.CSCs_HCC1937	R5.8.2.TN.CSCs_SUM149PT	R11.1.4.CCs_NCIH1703	R11.1.4.CSCs_NCIH1703	R12.5.4.CCs_2	R12.5.4.CCs_5	R12.5.4.CSCs_2	R12.5.4.CSCs_5
46	True	True	True	False	True	True	True	False	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	False	False	False	True	True	True	False	True	False	False	True	False	True
47	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	False	True	False	False	False	False	False	False	False	True	False	True	True	False
48	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	False	True	True	True	True
49	False	True	False	True	True	True	True	True	True	True	False	False	True	False	False	True	True	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
50	False	True	False	True	True	True	True	True	True	True	False	False	True	False	False	True	True	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
51	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
52	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True
53	False	False	False	False	False	False	False	False	True	True	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
54	True	True	True	True	True	True	False	False	False	False	False	False	True	True	True	True	True	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False
55	True	False	True	True	True	True	False	False	True	False	False	False	True	True	True	False	True	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	False	False	True	True
56	True	True	False	True	True	True	False	False	False	False	False	False	True	True	True	False	True	True	True	True	True	True	True	False	False	True	True	False	True	True	False	False	False	False	False	True
57	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
59	False	True	False	True	False	True	True	True	True	True	True	True	True	True	False	True	True	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False
60	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False
61	True	True	True	True	True	True	True	False	True	True	False	False	False	True	True	True	True	True	True	True	True	False	False	False	False	True	False	True	False	False	True	False	True	False	False	True
62	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
63	True	True	True	True	True	True	False	False	False	True	False	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
64	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	True	True	True	True	True	False	True	True	True	True	False	True	True	True	True	True	True
66	True	True	False	True	True	True	False	False	False	True	True	True	True	False	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
67	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False
68	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False	False	False	True	False	True	False	False	True	True	True	True	False
69	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	True	False	True	False	True	False	True	False	True	True	True	False	True
70	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False	True	False	False	True	False	True	False	False	False	True	True	True
71	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
72	True	True	True	True	True	False	False	False	False	False	False	False	True	False	True	True	False	True	False	True	True	False	True	False	False	False	True	False	True	False	False	True	False	True	False	True
74	True	True	True	True	True	True	False	False	False	True	False	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
75	True	True	False	True	True	True	False	False	True	True	True	True	True	False	True	True	True	True	False	False	True	False	True	False	True	True	True	False	False	True	False	False	False	False	True	False
76	True	True	True	False	True	False	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True	False	True	False	False	False	False	False	False	True	False
77	True	True	False	True	False	False	True	False	True	True	True	True	True	True	True	False	False	True	True	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False
78	False	True	False	True	False	False	True	False	False	False	True	False	False	True	True	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
79	True	True	True	True	False	False	False	False	False	True	False	True	True	False	True	True	True	False	False	True	True	False	True	False	False	True	True	True	False	False	False	False	True	True	True	True
80	True	True	True	True	True	True	False	False	False	False	False	False	True	True	True	True	True	True	True	True	False	False	True	True	True	False	False	True	False	True	False	False	False	False	False	False
81	True	True	True	True	False	False	True	False	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	False	True	False	False	True	True	True	True
83	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	False	False	False	False	True	True	False	False	True	False	False	False	False	False	True
84	True	True	True	True	True	True	False	False	False	False	False	True	True	False	True	True	True	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
85	True	True	False	False	False	False	False	True	True	True	True	True	True	False	False	True	True	False	False	False	True	True	True	True	True	True	True	False	True	True	False	True	True	True	True	True
86	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	False	True	True	False	True	True
87	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
88	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
89	False	True	False	True	True	True	True	True	True	True	True	True	False	True	True	False	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
90	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	False	True	False	True	False	True	False	True	True	True	True
91	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False	False	False	True	False	False	True	False	False	True	True	True	True
92	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
93	True	True	True	True	True	True	False	False	False	True	False	True	True	False	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
94	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	True	True	False	True	True	False	True	True	False	False	True	False	True	True
95	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
96	True	True	True	True	True	True	False	False	False	True	False	True	True	True	True	True	True	True	False	True	False	True	False	False	False	True	False	True	False	False	True	True	True	True	False	False
97	True	True	True	True	True	True	False	False	False	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True
98	False	True	True	False	True	True	False	False	False	True	False	False	False	False	True	False	True	False	True	True	True	True	True	True	True	True	False	True	True	False	True	True	True	False	True	True
100	True	True	True	True	True	True	False	False	False	False	False	False	True	False	False	False	True	True	False	True	False	False	True	False	False	False	True	True	False	False	False	True	False	False	False	False
101	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	True	False	False	True	True	False	False	False	True	False	False	False	False
102	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	False	False	True	True	False	False	False	True	True	True	True
104	False	True	True	True	True	True	False	False	False	False	False	False	True	False	True	True	True	True	True	True	True	False	False	True	True	True	True	False	False	True	False	False	False	False	False	True
105	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	True	True	True	True	True	True	False	False	True	False	True
107	True	True	False	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	False	False	True	True	True	False	False	False	False
109	True	True	False	True	True	True	False	False	True	True	False	False	True	True	False	True	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False
110	True	True	False	True	True	True	True	False	True	True	False	False	True	True	False	True	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True
112	True	True	True	True	False	True	False	False	False	False	False	True	True	False	True	False	False	True	False	False	True	False	True	False	False	True	False	False	False	False	False	False	True	False	False	False
113	True	True	True	True	True	True	True	False	False	False	False	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	True	False	True	False	False	True	False	True	True
116	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	True
117	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
118	True	True	False	True	True	True	False	False	False	False	False	True	True	False	True	True	True	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False
119	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	True	False	True	True	False	False	True	False	False	True	False	True	True
120	True	True	False	True	False	True	True	False	False	True	False	True	True	True	True	False	True	False	False	False	False	True	False	True	False	False	False	False	False	True	False	False	True	False	False	True
121	True	True	True	True	True	True	True	True	False	True	False	True	True	True	True	True	True	True	False	True	False	True	False	False	False	True	False	True	False	False	True	True	True	True	False	False
122	True	True	True	True	True	True	False	False	False	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
124	True	False	False	True	False	False	False	False	True	False	True	False	True	False	False	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
125	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	True	True	True	True	True	False	True	True	True	False	True	True	True	True	True	False	True
126	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
127	True	True	False	True	False	False	True	False	True	True	True	True	True	False	False	True	True	True	True	True	False	False	False	False	True	True	False	False	False	True	True	False	False	False	False	True
128	False	True	False	True	True	True	True	True	False	False	True	False	False	True	True	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False
129	True	True	True	True	True	True	True	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True	True	True	True	True	True
130	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	False	True	False	False	True	False	True	False	True	False	True	False	True	True
132	False	True	False	False	False	True	False	False	False	False	False	True	False	False	False	False	True	False	False	True	True	True	True	False	True	False	True	True	False	True	True	False	True	True	True	True
134	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
135	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True	False	True	True	True	True	True
136	True	True	True	True	True	True	False	True	False	False	False	False	True	True	True	False	False	True	False	False	True	True	True	True	True	False	True	False	True	True	False	True	True	True	True	True
137	True	True	True	True	True	True	False	True	False	False	False	False	True	True	True	False	False	True	False	False	True	True	True	True	True	False	True	False	True	True	False	True	True	True	True	True
138	True	True	True	True	True	True	True	False	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
139	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False
140	True	True	False	True	False	False	False	True	False	False	False	False	False	True	False	True	True	True	True	True	True	False	False	False	True	False	False	False	True	False	False	False	True	False	True	False
142	True	True	False	True	False	False	True	False	True	True	True	True	True	False	False	True	True	True	True	True	False	False	False	False	True	True	False	False	False	True	True	False	False	False	False	True
143	True	False	True	True	True	True	False	False	True	False	True	False	True	True	True	True	True	True	True	False	True	False	True	False	False	False	False	False	False	False	False	False	True	True	True	False
144	False	True	False	True	False	False	False	False	False	True	True	True	False	False	False	True	True	False	True	True	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False
145	False	True	False	True	False	False	False	False	True	True	True	True	False	False	False	True	True	False	True	True	True	True	False	False	True	False	False	False	True	False	False	False	False	False	False	False
146	True	False	True	True	True	True	True	False	True	False	True	False	True	True	True	True	True	True	True	False	True	False	False	False	False	False	False	False	False	False	True	False	True	True	False	False
148	True	True	False	True	True	True	False	True	False	True	False	True	True	True	True	True	True	True	False	True	False	False	False	False	False	False	False	False	True	False	True	False	True	False	False	False
149	True	True	False	True	True	True	True	False	True	False	False	True	True	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	True	False	False	False
150	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	True	True	True	True	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False
151	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	True	False	True	True	False	False	True	True	True	True	True	False	True	True
152	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False
153	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True
154	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
155	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	False	True	True	True
156	True	True	True	True	True	True	True	False	False	True	True	True	True	False	False	False	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False
157	True	True	True	True	True	True	True	False	False	True	True	True	True	False	False	False	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False
158	True	True	True	True	True	True	True	False	False	True	True	True	True	False	False	False	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False
159	True	True	True	True	True	True	True	False	False	True	True	True	True	False	False	False	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False
160	True	True	True	True	True	True	True	False	False	True	True	True	True	False	False	False	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False
162	True	True	True	True	True	True	True	False	False	True	True	True	True	False	False	False	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False
163	True	True	True	True	True	True	True	False	False	True	True	True	True	False	False	False	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False
164	True	True	True	True	True	True	False	False	False	False	False	False	True	True	True	False	True	True	True	True	True	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False
165	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
166	True	True	True	True	True	True	False	False	False	False	False	False	True	True	True	False	True	True	False	True	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False
167	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True
168	True	True	True	True	True	True	False	False	False	False	False	False	True	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False
169	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
170	True	True	True	True	True	True	False	False	False	False	False	False	True	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False
171	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True
173	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
175	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	True
176	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	False	False	True	False	False	True	True	False	True
177	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	True
178	True	True	True	True	True	True	True	False	True	True	False	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True	False	False	False	True	False	False	False	True	False	True
179	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
180	True	True	False	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False
186	False	True	True	True	False	True	False	False	False	False	False	False	True	False	False	True	True	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False
188	False	True	False	True	True	True	True	False	False	True	True	False	True	False	False	False	True	False	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False
189	False	True	False	True	True	True	True	False	False	True	True	False	True	False	False	False	True	False	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False
190	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	False	False	True	False	True	True	True	True	True	True	True	False	True
191	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
192	True	True	True	True	True	True	False	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	True	True	True	True
193	False	True	True	True	True	True	True	True	True	False	False	False	True	True	True	True	True	True	True	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False
194	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
195	True	True	True	True	True	True	False	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
197	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True
198	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
200	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	True	False	True	True	False	True	False	True	False
203	True	True	True	True	True	True	False	True	False	True	True	False	True	True	False	True	True	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False
207	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True
208	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True
209	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	True	False	False	True	False	True	False	True	False
210	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False	False	False	False	False	True	True	True	True	True	False	True
